Customer,Date Shipped,Product ID,Brand,Channel
9829935,2/16/18,1313,White Whale,Direct
9832878,2/16/18,395,Black Dog,Direct
9833553,2/17/18,581,White Whale,Direct
9832581,2/22/18,581,White Whale,Partner
9825507,2/23/18,581,White Whale,Direct
9826317,2/23/18,581,White Whale,Direct
9826569,2/23/18,581,White Whale,Direct
9828135,2/23/18,239,Black Dog,Direct
9825615,2/24/18,581,White Whale,Direct
9835425,2/24/18,470,Black Dog,Direct
9839034,2/27/18,239,Black Dog,Direct
9839187,2/27/18,239,Black Dog,Direct
9835560,2/28/18,470,Black Dog,Direct
9839061,2/28/18,581,White Whale,Partner
9826479,3/1/18,581,White Whale,Direct
9832500,3/1/18,581,White Whale,Direct
9837162,3/1/18,581,White Whale,Direct
9837441,3/1/18,581,White Whale,Direct
9839169,3/1/18,581,White Whale,Direct
9822987,3/3/18,377,White Whale,Direct
9823716,3/3/18,377,White Whale,Direct
9833463,3/3/18,377,White Whale,Direct
9834696,3/3/18,377,White Whale,Direct
9838071,3/3/18,377,White Whale,Direct
9840609,3/3/18,1073,Black Dog,Direct
9824508,3/6/18,1073,Black Dog,Direct
9823563,3/8/18,314,Black Dog,Direct
9829278,3/8/18,17,White Whale,Direct
9833526,3/8/18,17,White Whale,Direct
9829881,3/13/18,314,Black Dog,Direct
9834696,3/13/18,968,White Whale,Direct
9834696,3/13/18,377,White Whale,Direct
9823743,3/14/18,377,White Whale,Partner
9824436,3/14/18,377,White Whale,Direct
9826299,3/14/18,377,White Whale,Direct
9829125,3/14/18,377,White Whale,Direct
9829935,3/14/18,377,White Whale,Direct
9831942,3/14/18,1073,Black Dog,Direct
9833760,3/14/18,1073,Black Dog,Direct
9825507,3/17/18,548,White Whale,Direct
9826317,3/17/18,548,White Whale,Direct
9826569,3/17/18,548,White Whale,Direct
9828135,3/17/18,1073,Black Dog,Direct
9832581,3/17/18,548,White Whale,Partner
9833553,3/17/18,548,White Whale,Direct
9839034,3/23/18,1073,Black Dog,Direct
9825615,3/24/18,548,White Whale,Direct
9835425,3/24/18,1073,Black Dog,Direct
9839187,3/24/18,1073,Black Dog,Direct
9835560,3/28/18,1073,Black Dog,Direct
9832500,3/30/18,548,White Whale,Direct
9837162,3/30/18,548,White Whale,Direct
9837441,3/30/18,548,White Whale,Direct
9839061,3/30/18,548,White Whale,Partner
9833526,4/6/18,377,White Whale,Direct
9822987,4/7/18,17,White Whale,Direct
9823716,4/7/18,17,White Whale,Direct
9829278,4/7/18,1388,White Whale,Direct
9833463,4/10/18,17,White Whale,Direct
9834696,4/10/18,17,White Whale,Direct
9838071,4/10/18,17,White Whale,Direct
9840609,4/11/18,458,Black Dog,Direct
9823743,4/13/18,581,White Whale,Partner
9826299,4/13/18,581,White Whale,Direct
9829125,4/13/18,581,White Whale,Direct
9829935,4/13/18,581,White Whale,Direct
9831942,4/13/18,458,Black Dog,Direct
9829881,4/18/18,446,Black Dog,Direct
9825507,4/21/18,17,White Whale,Direct
9826569,4/21/18,17,White Whale,Direct
9833553,4/21/18,17,White Whale,Direct
9832581,4/24/18,968,White Whale,Partner
